"Statistic","Week","Nationality","Unit","All nationalities","Other nationalities with protected status","Ukrainian"
"PPSN registrations of arrivals from Ukraine","2022 February 27","All nationalities","Number","221","63","158"
"PPSN registrations of arrivals from Ukraine","2022 March 06","All nationalities","Number","241","63","178"
"PPSN registrations of arrivals from Ukraine","2022 March 13","All nationalities","Number","3,340","98","3,242"
"PPSN registrations of arrivals from Ukraine","2022 March 20","All nationalities","Number","7,904","240","7,664"
"PPSN registrations of arrivals from Ukraine","2022 March 27","All nationalities","Number","12,150","422","11,728"
"PPSN registrations of arrivals from Ukraine","2022 April 03","All nationalities","Number","18,202","541","17,661"
"PPSN registrations of arrivals from Ukraine","2022 April 10","All nationalities","Number","22,002","596","21,406"
"PPSN registrations of arrivals from Ukraine","2022 April 17","All nationalities","Number","24,026","627","23,399"
"PPSN registrations of arrivals from Ukraine","2022 April 24","All nationalities","Number","26,324","671","25,653"
"PPSN registrations of arrivals from Ukraine","2022 May 01","All nationalities","Number","27,817","689","27,128"
"PPSN registrations of arrivals from Ukraine","2022 May 08","All nationalities","Number","29,839","724","29,115"
"PPSN registrations of arrivals from Ukraine","2022 May 15","All nationalities","Number","31,572","740","30,832"
"PPSN registrations of arrivals from Ukraine","2022 May 22","All nationalities","Number","33,176","763","32,413"
"PPSN registrations of arrivals from Ukraine","2022 May 29","All nationalities","Number","34,386","780","33,606"
"PPSN registrations of arrivals from Ukraine","2022 June 05","All nationalities","Number","35,690","797","34,893"
"PPSN registrations of arrivals from Ukraine","2022 June 12","All nationalities","Number","37,373","813","36,560"
"PPSN registrations of arrivals from Ukraine","2022 June 19","All nationalities","Number","38,725","830","37,895"
"PPSN registrations of arrivals from Ukraine","2022 June 26","All nationalities","Number","40,324","847","39,477"
"PPSN registrations of arrivals from Ukraine","2022 July 03","All nationalities","Number","41,861","867","40,994"
"PPSN registrations of arrivals from Ukraine","2022 July 10","All nationalities","Number","43,256","876","42,380"